ID Partido;Resultado;Calificación;Goles;De;ID Casaca;ID Rival;ID Cancha;Año;MVP
1;6;9;8;5;;103;45;2006;SI
2;-4;6;1;8;;94;43;2006;
3;2;9;2;8;;87;43;2006;
4;2;6;1;8;;56;32;2006;
5;-2;7;2;8;;117;43;2006;SI
6;2;5;1;8;;89;43;2006;
7;0;4,5;0;8;;39;34;2006;
8;-13;3,5;0;8;;115;43;2006;
9;0;7;2;8;;75;43;2006;
10;2;9;3;8;;92;43;2006;SI
11;-6;2;0;8;;6;43;2006;
12;3;10;3;8;;116;43;2006;SI
13;11;9;7;6;;;39;2007;
14;5;6;2;6;;;39;2007;
15;-2;7;2;6;;;14;2007;
16;-2;3;3;5;;;2;2007;
17;8;7,5;10;5;;;2;2007;
18;3;8;5;5;;;45;2007;SI
19;4;6,5;1;5;;;14;2007;
20;6;9;10;5;;;2;2007;SI
21;-1;4;3;5;;;14;2007;
22;-3;5,5;4;5;;;14;2007;
23;4;6;4;6;;;14;2007;
24;-1;5;4;5;;;2;2007;SI
25;1;8;3;5;;;14;2007;
26;3;7,5;3;6;;;14;2007;
27;-1;6;0;11;;;56;2007;
28;-2;7;3;5;;;50;2007;
29;7;7;5;5;;;14;2007;
30;-1;7;0;8;;;39;2007;SI
31;5;9;6;5;;;63;2007;SI
32;2;8,5;7;5;;;14;2007;SI
33;0;6;0;11;;;56;2007;
34;-1;3,5;3;5;;;14;2007;
35;5;4,5;5;5;;;14;2007;
36;-6;5;0;11;;;56;2007;
37;2;7,5;2;5;;;56;2007;
38;-2;8,5;13;5;;;50;2007;SI
39;-3;4,5;0;11;;;16;2007;
40;3;9;9;5;;;65;2007;SI
41;0;6;0;11;;;16;2007;
42;-5;7,5;4;5;;;63;2007;
43;4;5;2;8;;;39;2007;
44;-1;4,5;5;5;;;47;2007;
45;-7;7,5;0;8;;;39;2007;SI
46;1;5;8;5;;;28;2007;
47;-1;6,5;0;11;;;16;2007;SI
48;-1;6,5;0;11;;;16;2007;
49;-7;4,5;0;11;;;16;2007;
50;2;6,5;0;11;;;16;2007;
51;9;7;5;5;;;2;2007;
52;-5;6;1;11;;;16;2007;SI
53;1;7;4;6;;;14;2007;
54;-3;5,5;0;11;;;16;2007;
55;-4;4;0;9;;;34;2007;
56;1;7;3;6;;;14;2007;
57;-6;6;0;11;;;64;2007;
58;-2;6;0;11;;;16;2007;SI
59;2;8;6;6;;;14;2007;SI
60;2;7;2;6;;;14;2007;
61;-1;7;2;9;;;43;2007;SI
62;2;5,5;2;6;;;14;2007;
63;-1;6;1;11;;;64;2007;
64;3;3;0;5;;;2;2007;
65;4;8;4;6;;;14;2007;
66;-8;4,5;0;9;;;42;2007;
67;10;6;5;5;;;14;2007;
68;2;5;0;5;;;2;2007;
69;1;7;0;11;;;16;2007;SI
70;0;6;0;11;;;16;2007;
71;-8;4,5;1;6;;;14;2007;
72;-7;4,5;0;11;;;64;2007;
73;3;7,5;4;6;;;14;2007;
74;-4;4;2;5;;;14;2007;
75;0;7;0;5;;;21;2007;SI
76;-3;5;7;5;;;14;2007;
77;7;7,5;10;5;;;14;2007;
78;-1;6;3;5;;;2;2007;
79;-5;5;0;9;;;42;2007;
80;0;7,5;2;9;;;43;2007;
81;2;8;1;9;;;48;2007;SI
82;3;10;7;6;;;14;2007;SI
83;7;6,5;1;11;;;5;2007;
84;2;8;5;5;;15;45;2008;SI
85;1;6;3;6;;105;14;2008;
86;3;8;5;6;;21;14;2008;
87;9;8;8;5;;16;38;2008;SI
88;6;7;2;6;;21;14;2008;
89;-3;7,5;3;5;;12;26;2008;SI
90;-3;6;3;6;;57;14;2008;SI
91;-2;4;1;6;;107;26;2008;
92;-3;5,5;1;5;;21;2;2008;
93;2;7;2;5;;81;14;2008;
94;-1;7,5;4;5;;106;44;2008;SI
95;8;8;7;5;;91;45;2008;
96;11;7;1;5;;107;26;2008;
97;8;7;3;6;;57;14;2008;
98;2;10;8;5;;16;31;2008;SI
99;7;7,5;8;5;;105;37;2008;
100;-1;5;1;6;;62;14;2008;
101;-2;4,5;0;11;;83;56;2008;
102;-4;7;1;11;;1;5;2008;SI
103;-4;4;2;6;;107;26;2008;
104;9;6;4;5;;21;14;2008;
105;3;4,5;3;5;;62;14;2008;
106;8;9;9;5;;24;41;2008;SI
107;5;10;7;6;;57;57;2008;SI
108;7;9;8;6;;3;11;2008;SI
109;0;7;4;5;;62;14;2008;
110;3;8;7;5;;11;49;2008;
111;1;7,5;2;11;;68;16;2008;SI
112;1;3;0;6;;3;57;2008;
113;-2;5,5;6;5;;11;49;2008;
114;-2;5;1;11;;83;25;2008;
115;-1;6;1;11;;1;5;2008;
116;2;4,5;0;11;;68;25;2008;
117;0;5;0;11;;1;5;2008;
118;-3;5;0;11;;113;16;2008;
119;2;5,5;2;6;;3;11;2008;
120;-2;3,5;0;11;;110;16;2008;
121;0;6;0;11;;73;16;2008;
122;0;3;1;5;;21;14;2008;
123;-6;5;3;5;;23;9;2008;
124;-5;5;0;11;;97;16;2008;
125;3;7,5;4;6;;23;26;2008;SI
126;-1;5;0;11;;109;16;2008;
127;-3;3,5;0;5;;122;10;2008;
128;-4;6;0;11;;104;16;2008;SI
129;1;9;8;5;;23;9;2008;SI
130;1;4,5;3;6;;78;41;2008;
131;0;7;0;11;;1;5;2008;SI
132;8;6;1;11;;7;48;2008;
133;0;6,5;0;11;;1;5;2008;
134;-3;4,5;0;11;;1;5;2008;
135;4;6;3;5;;23;19;2008;
136;0;7;5;5;;15;35;2008;SI
137;-3;3;1;5;;12;41;2008;
138;5;7;4;5;;15;35;2008;
139;3;7,5;2;11;;1;5;2008;SI
140;1;7,5;5;5;;15;35;2008;SI
141;-2;4;0;11;;1;5;2008;
142;2;4;1;5;;15;35;2008;
143;5;6;2;5;;15;35;2008;
144;8;5,5;2;5;;15;35;2008;
145;-1;7,5;0;11;;1;5;2008;SI
146;-4;5,5;0;8;;64;39;2008;
147;-7;8;4;5;;15;35;2008;SI
148;4;8;1;9;;64;39;2008;
149;3;8;4;5;;90;45;2008;
150;2;8;4;5;;23;1;2009;SI
151;-2;6;2;9;;64;39;2009;
152;-8;5,5;3;5;;41;49;2009;
153;1;6;4;5;;15;35;2009;
154;2;6;4;5;;15;35;2009;
155;-7;6;5;5;;15;35;2009;
156;2;5,5;2;5;;15;35;2009;
157;-4;4,5;2;5;;1;5;2009;
158;-4;6;2;8;;64;39;2009;
159;3;8;6;5;;80;44;2009;SI
160;2;7;3;6;;80;57;2009;
161;5;7;2;9;;82;43;2009;
162;-4;4;0;5;;90;57;2009;
163;-3;4;0;6;;80;57;2009;
164;2;7;3;9;;64;39;2009;
165;3;7,5;3;6;;3;14;2009;
166;3;10;4;5;;15;35;2009;SI
167;1;8;5;5;;23;9;2009;
168;2;7;1;11;;90;25;2009;SI
169;-2;5;4;5;;8;57;2009;
170;3;7,5;3;6;;111;41;2009;
171;3;8;5;5;;66;36;2009;
172;-6;5;0;5;;102;14;2009;
173;-1;5;1;6;;72;14;2009;
174;-2;5,5;4;5;;111;23;2009;
175;5;10;7;5;;23;9;2009;SI
176;-4;5,5;1;5;;120;14;2009;
177;0;6;5;5;;80;26;2009;
178;-7;3;0;6;;23;9;2009;
179;4;6,5;5;5;;66;36;2009;
180;7;7;7;5;;15;35;2009;
181;3;8;1;11;;100;16;2009;SI
182;-2;3,5;1;5;;80;57;2009;
183;-2;4;0;11;;101;16;2009;
184;9;7,5;6;5;;15;35;2009;
185;2;6;2;11;;55;16;2009;
186;1;5;2;5;;14;56;2009;
187;-1;7;3;6;;91;14;2009;SI
188;5;6;1;6;;120;5;2009;
189;4;7;4;6;;80;20;2009;
190;3;7;2;9;;64;39;2009;
191;-1;6;1;6;;120;5;2009;
192;2;6;1;9;;64;39;2009;
193;3;6,5;4;5;;10;37;2009;SI
194;-2;6;;8;;64;39;2009;
195;-1;5,5;0;6;;120;5;2009;
196;5;7;2;8;;85;48;2009;SI
197;0;5,5;0;8;;85;48;2009;
198;2;6;;8;;85;48;2009;
199;-2;5;1;8;;77;48;2009;
200;-2;6;;6;;10;37;2009;
201;5;7,5;7;5;;15;35;2009;
202;-4;6;0;9;;64;39;2009;
203;0;6;0;6;;120;5;2009;
204;3;7;1;6;;2;5;2009;SI
205;1;7;2;6;;112;5;2009;
206;0;5;0;11;;118;16;2009;
207;-2;5;1;11;;54;16;2009;
208;0;8,5;2;6;;77;5;2009;SI
209;4;8;5;6;;72;14;2009;SI
210;-4;6,5;2;9;;64;39;2009;
211;1;7;1;8;;64;39;2009;SI
212;9;10;8;6;;80;30;2009;SI
213;3;7;3;6;;80;14;2009;
214;0;5;0;8;;64;39;2009;
215;1;8;4;8;;59;47;2009;SI
216;4;7;4;8;;64;39;2009;
217;0;8,5;3;8;;64;39;2009;SI
218;5;8;7;5;;29;24;2009;
219;-2;5;2;9;;64;39;2010;
220;4;9;3;8;;64;39;2010;SI
221;1;4,5;3;5;;1;60;2010;
222;6;7;6;5;;23;19;2010;
223;-5;5;2;6;;1;60;2010;
224;-1;6,5;4;8;;64;39;2010;
225;4;6,5;3;6;;79;20;2010;
226;1;7;4;6;;1;60;2010;
227;4;7;4;9;;64;39;2010;
228;4;10;9;5;;79;57;2010;SI
229;5;4;1;5;;90;57;2010;
230;-2;6;4;6;;1;60;2010;
231;2;6;0;9;;64;39;2010;
232;-3;5;2;5;;79;57;2010;
233;-3;5;2;5;;29;24;2010;
234;2;9;7;5;;23;19;2010;SI
235;0;4;1;5;;30;6;2010;
236;0;6;1;11;;119;58;2010;SI
237;3;10;19;5;;32;33;2010;SI
238;1;5,5;2;5;;4;1;2010;
239;-1;5,5;0;11;;83;58;2010;
240;4;5;5;5;;4;1;2010;
241;2;4;6;5;;98;52;2010;
242;1;6;0;11;;38;18;2010;
243;4;5,5;4;5;;19;44;2010;
244;2;5,5;1;11;;90;16;2010;
245;-2;5;6;5;;98;52;2010;
246;1;5;0;11;;38;18;2010;
247;-3;7;1;11;;104;16;2010;SI
248;5;6,5;4;5;;34;21;2010;
249;6;8,5;6;5;;4;1;2010;SI
250;3;6,5;1;11;;90;16;2010;
251;2;5;5;5;;4;9;2010;
252;-6;5;0;11;;118;16;2010;
253;0;4;1;5;;4;9;2010;
254;7;8;4;9;;65;10;2010;
255;-1;9;8;5;;4;13;2010;SI
256;-4;7;7;5;;4;13;2010;
257;4;5,5;3;6;;79;57;2010;
258;2;7;3;6;;79;57;2010;
259;-2;7;2;5;;20;3;2010;
260;-6;6,5;3;6;;58;20;2010;
261;0;8;8;5;;4;13;2010;SI
262;-2;5;3;6;;35;40;2010;
263;-4;5;0;11;;60;16;2010;
264;-6;4,5;0;11;;67;16;2010;
265;2;5,5;1;11;;129;16;2010;
266;2;7,5;1;11;;95;16;2010;SI
267;-2;3;0;6;;123;59;2010;
268;5;7;2;6;;123;59;2010;
269;0;6,5;3;5;;98;52;2010;
270;3;6;1;6;;123;59;2010;
271;0;8;5;5;;4;1;2010;
272;3;5;0;6;;123;59;2010;
273;0;2,5;0;6;;123;59;2010;
274;-4;5;2;5;;15;35;2010;
275;1;5;0;6;;123;59;2010;
276;5;9;8;6;;20;45;2010;SI
277;4;6,5;3;5;;32;7;2010;
278;6;8;6;5;;18;21;2010;SI
279;1;7,5;2;5;;123;59;2010;
280;-4;5,5;1;5;;91;14;2010;
